STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/1/2020,30,22,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/2/2020,36,18,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/3/2020,44,30,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/4/2020,36,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/5/2020,30,28,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/6/2020,30,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/7/2020,33,24,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/8/2020,36,16,16
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/9/2020,18,15,17
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/10/2020,45,15,40
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/11/2020,40,27,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/12/2020,27,15,15
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/13/2020,22,11,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/14/2020,30,22,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/15/2020,35,23,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/16/2020,34,27,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/17/2020,34,17,17
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/18/2020,23,17,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/19/2020,31,17,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/20/2020,31,18,21
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/21/2020,25,13,15
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/22/2020,30,14,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/23/2020,38,28,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/24/2020,32,29,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/25/2020,39,30,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/26/2020,38,31,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/27/2020,38,30,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/28/2020,38,27,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/29/2020,30,25,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/30/2020,31,25,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",1/31/2020,32,27,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/1/2020,34,28,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/2/2020,35,30,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/3/2020,40,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/4/2020,39,26,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/5/2020,30,12,12
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/6/2020,30,11,21
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/7/2020,29,19,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/8/2020,28,13,13
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/9/2020,28,12,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/10/2020,31,22,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/11/2020,33,21,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/12/2020,30,22,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/13/2020,39,12,12
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/14/2020,13,9,9
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/15/2020,18,9,17
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/16/2020,30,16,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/17/2020,30,7,7
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/18/2020,33,7,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/19/2020,33,7,17
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/20/2020,21,12,13
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/21/2020,21,10,12
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/22/2020,38,12,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/23/2020,44,26,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/24/2020,47,27,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/25/2020,39,26,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/26/2020,33,25,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/27/2020,26,20,20
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/28/2020,21,17,17
USC00208249,"TRAVERSE CITY MUNSON, MI US",2/29/2020,23,17,22
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/1/2020,30,18,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/2/2020,48,18,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/3/2020,41,26,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/4/2020,42,27,33
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/5/2020,36,23,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/6/2020,45,26,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/7/2020,31,16,16
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/8/2020,45,16,39
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/9/2020,56,38,47
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/10/2020,50,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/11/2020,34,27,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/12/2020,41,29,36
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/13/2020,47,35,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/14/2020,40,28,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/15/2020,30,23,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/16/2020,35,23,24
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/17/2020,41,23,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/18/2020,40,26,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/19/2020,38,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/20/2020,49,28,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/21/2020,34,19,19
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/23/2020,37,16,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/24/2020,40,25,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/25/2020,45,29,37
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/26/2020,58,30,38
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/27/2020,42,30,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/28/2020,48,34,37
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/29/2020,48,33,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/30/2020,53,34,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",3/31/2020,36,34,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/1/2020,40,34,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/2/2020,48,28,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/3/2020,52,27,28
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/4/2020,55,28,42
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/5/2020,42,26,26
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/6/2020,43,26,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/7/2020,52,27,37
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/8/2020,52,31,40
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/9/2020,60,32,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/10/2020,37,31,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/11/2020,37,28,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/12/2020,57,28,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/13/2020,49,38,38
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/14/2020,39,27,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/15/2020,35,21,21
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/16/2020,35,19,23
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/17/2020,39,21,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/18/2020,48,29,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/19/2020,57,30,40
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/20/2020,41,25,27
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/21/2020,57,27,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/22/2020,35,21,21
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/23/2020,37,21,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/24/2020,41,32,35
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/25/2020,47,29,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/26/2020,54,29,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/27/2020,57,29,30
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/28/2020,58,29,43
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/29/2020,56,40,50
USC00208249,"TRAVERSE CITY MUNSON, MI US",4/30/2020,50,37,38
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/1/2020,46,31,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/2/2020,60,31,47
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/3/2020,71,40,40
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/4/2020,64,34,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/5/2020,43,32,34
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/6/2020,48,29,29
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/7/2020,58,28,36
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/8/2020,48,30,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/9/2020,37,25,31
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/10/2020,51,31,36
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/11/2020,40,32,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/12/2020,42,26,32
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/13/2020,46,25,25
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/14/2020,57,25,51
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/15/2020,55,44,47
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/16/2020,65,37,37
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/17/2020,59,37,49
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/18/2020,60,48,51
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/19/2020,56,50,53
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/20/2020,72,47,47
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/21/2020,70,46,46
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/22/2020,70,45,50
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/23/2020,74,49,51
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/24/2020,70,51,56
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/25/2020,74,53,54
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/26/2020,86,53,62
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/27/2020,90,53,66
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/28/2020,87,65,65
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/29/2020,87,58,58
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/30/2020,69,47,48
USC00208249,"TRAVERSE CITY MUNSON, MI US",5/31/2020,69,36,36
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/1/2020,63,36,49
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/2/2020,75,49,65
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/3/2020,89,60,60
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/4/2020,74,54,54
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/5/2020,76,54,54
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/6/2020,72,53,56
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/7/2020,64,44,44
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/8/2020,66,44,52
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/9/2020,89,52,57
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/10/2020,92,57,74
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/11/2020,82,51,52
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/12/2020,72,43,43
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/13/2020,56,43,43
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/14/2020,62,41,41
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/15/2020,68,41,43
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/16/2020,72,42,49
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/17/2020,81,49,53
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/18/2020,83,53,56
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/19/2020,87,53,58
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/20/2020,88,58,59
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/21/2020,88,58,67
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/22/2020,78,59,59
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/23/2020,78,59,63
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/24/2020,63,54,55
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/25/2020,71,55,56
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/26/2020,79,55,62
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/27/2020,84,62,68
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/28/2020,81,55,56
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/29/2020,79,55,60
USC00208249,"TRAVERSE CITY MUNSON, MI US",6/30/2020,89,60,67
USC00208249,"TRAVERSE CITY MUNSON, MI US",7/1/2020,89,60,60
